Calpain-1 catalytic subunit	Prenylcysteine oxidase 1	Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed	Clusterin;Clusterin beta chain;Clusterin alpha chain;Clusterin	Glyceraldehyde-3-phosphate dehydrogenase	Plasma protease C1 inhibitor	Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3	Apolipoprotein L1	Ig kappa chain V-II region FR;Ig kappa chain V-II region Cum	Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain	Apolipoprotein M	Apolipoprotein A-I;Proapolipoprotein A-I;Truncated apolipoprotein A-I	Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin	Serum amyloid P-component;Serum amyloid P-component(1-203)	Hemoglobin subunit alpha	Complement C1q subcomponent subunit C	Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4	C4b-binding protein beta chain	Carboxypeptidase B2	Vitamin D-binding protein	Vitamin K-dependent protein S	LIM and senescent cell antigen-like-containing domain protein 1	Tubulin beta-1 chain	Complement component C9;Complement component C9a;Complement component C9b	Filamin-A	Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain	Afamin	C4b-binding protein alpha chain	Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B	Protein Z-dependent protease inhibitor	Complement C1s subcomponent;Complement C1s subcomponent heavy chain;Complement C1s subcomponent light chain	Apolipoprotein A-II;Proapolipoprotein A-II;Truncated apolipoprotein A-II	Complement component C8 beta chain	Selenoprotein P	Transthyretin	Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less	Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2	Serotransferrin	Platelet basic protein;Connective tissue-activating peptide III;TC-2;Connective tissue-activating peptide III(1-81);Beta-thromboglobulin;Neutrophil-activating peptide 2(74);Neutrophil-activating peptide 2(73);Neutrophil-activating peptide 2;TC-1;Neutrophil-activating peptide 2(1-66);Neutrophil-activating peptide 2(1-63)	Vinculin	EH domain-containing protein 3	Apolipoprotein C-III	Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-3E chain	Alpha-2-antiplasmin	Serum amyloid A-4 protein	Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain	Chloride intracellular channel protein 1	Alpha-enolase;Enolase	Ig kappa chain V-I region AU;Ig kappa chain V-I region AG	Fibrinogen gamma chain
19.0066776275635	21.2444667816162	21.4220352172852	26.8864631652832	21.856466293335	21.009973526001	18.9850406646729	23.9060974121094	20.2781009674072	19.2243747711182	26.2373752593994	33.2513809204102	23.2938976287842	23.602294921875	22.4584884643555	18.6147880554199	21.4990653991699	22.5994148254395	20.5155696868896	20.2703628540039	18.7321472167969	18.5836925506592	18.735523223877	19.3481712341309	21.241792678833	23.655891418457	21.5171089172363	20.766845703125	26.0783462524414	20.9670524597168	NA	23.3582363128662	20.0363082885742	21.6497001647949	21.6094608306885	21.8752269744873	22.6761817932129	20.9337310791016	20.69140625	20.8550605773926	19.5255241394043	24.3250541687012	21.0499954223633	20.4139003753662	25.9293117523193	26.5552883148193	19.6898040771484	20.8178462982178	19.8116664886475	27.2274761199951
18.7339019775391	21.0163135528564	20.7530345916748	26.4017639160156	21.1660079956055	20.8049087524414	18.8239517211914	22.5493602752686	20.5127754211426	20.042064666748	25.5605163574219	32.1708679199219	22.5412998199463	24.3095245361328	22.1776428222656	18.9527645111084	21.9514484405518	23.17506980896	20.6055774688721	20.9529056549072	20.4424285888672	18.803129196167	19.3683700561523	21.0299205780029	20.3967590332031	24.3058433532715	20.073392868042	22.9266738891602	25.3490829467773	NA	20.1984443664551	21.3229522705078	20.6543846130371	21.4906692504883	22.0559635162354	20.9508438110352	23.3152046203613	22.432243347168	19.9625396728516	19.7466850280762	18.9960651397705	21.4492473602295	20.5912189483643	20.668909072876	26.016185760498	26.6828441619873	19.26051902771	20.5102653503418	20.3910007476807	28.0816211700439
NA	NA	NA	24.3725872039795	NA	NA	NA	NA	NA	NA	23.644495010376	31.5259857177734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.1974258422852	25.2088832855225	NA	23.2195129394531	NA	NA	25.9786930084229	NA	24.7635478973389
18.7861862182617	21.097448348999	21.2292881011963	26.6835136413574	22.5288143157959	20.7385120391846	19.8246974945068	23.0638008117676	20.4164791107178	19.7996711730957	25.6797885894775	32.5416946411133	22.889799118042	24.2026958465576	22.5191249847412	19.8571434020996	21.9332275390625	21.8875885009766	20.9140777587891	20.5361137390137	19.5686130523682	19.0011329650879	18.1227264404297	21.0081958770752	19.1951789855957	23.0199813842773	21.3007278442383	21.9759635925293	23.9176158905029	19.9091053009033	19.9771518707275	22.1538467407227	20.2562637329102	20.5058155059814	21.0101776123047	21.2476558685303	23.0810394287109	21.500768661499	19.7487335205078	20.5251617431641	NA	22.1371479034424	20.2836494445801	20.3671970367432	24.3466510772705	26.9473743438721	19.7808799743652	20.6907253265381	19.9254379272461	28.2897357940674
18.7842712402344	20.8436050415039	21.3255882263184	26.7943916320801	21.9776058197021	20.8589344024658	20.6223888397217	22.8432598114014	20.2077674865723	19.8107566833496	24.7063026428223	32.4578475952148	22.6693859100342	25.1986179351807	21.8327159881592	19.3934326171875	21.9764175415039	23.0135898590088	19.1693515777588	21.280366897583	21.1691932678223	19.6305522918701	17.9230613708496	21.4847316741943	19.1494197845459	23.528980255127	20.8547554016113	22.9409866333008	25.6239395141602	20.3490562438965	19.5005531311035	22.5463733673096	20.555154800415	21.019100189209	22.1646900177002	20.7626342773438	23.4642601013184	21.5277404785156	22.8826904296875	20.5456657409668	19.2513027191162	23.8612651824951	19.8988265991211	20.8692150115967	25.8591327667236	27.3412990570068	19.4605598449707	19.9265689849854	19.5582218170166	27.5526676177979
19.2846202850342	20.8298931121826	21.4136943817139	26.0589332580566	21.7961807250977	20.1109523773193	20.8521671295166	22.1524868011475	19.8766059875488	19.7047710418701	25.2044506072998	30.2288284301758	23.8309383392334	24.2045631408691	22.4642353057861	19.6105785369873	21.4297676086426	22.1328887939453	20.5047492980957	20.6941299438477	20.869815826416	19.2874412536621	18.4308204650879	20.9902305603027	20.1536312103271	24.2847499847412	19.9357471466064	23.2499580383301	25.5536212921143	20.2521114349365	20.2773056030273	21.1536312103271	20.6802024841309	20.0904216766357	21.3737964630127	20.1811962127686	23.7993659973145	22.2456855773926	NA	20.5212364196777	19.7405872344971	21.1228790283203	20.2055015563965	20.6218509674072	24.0534954071045	27.3623561859131	19.5125637054443	20.3562755584717	19.1539535522461	28.2257766723633
18.7014083862305	20.4458675384521	22.1005001068115	25.8547897338867	21.7824878692627	20.3571357727051	19.937183380127	22.1654262542725	20.5796661376953	19.9197483062744	24.9809379577637	32.1997299194336	23.7069358825684	24.9543800354004	22.7833881378174	19.9348831176758	21.6765899658203	22.9180335998535	20.2056217193604	20.9441375732422	20.7351264953613	19.8640537261963	18.4099292755127	22.2596015930176	19.2826995849609	23.4601402282715	20.2002429962158	23.6443843841553	25.1038951873779	19.9288539886475	20.4130744934082	NA	20.6856861114502	20.7577610015869	21.6993923187256	20.6960849761963	24.8067588806152	22.0537109375	19.6751270294189	19.9640922546387	18.7870483398438	21.6786556243896	20.9088115692139	20.0576171875	23.3042411804199	26.1483535766602	19.6455993652344	20.9166316986084	19.6069145202637	26.0193920135498
18.9668827056885	20.5406608581543	21.9819660186768	26.5281600952148	22.1005630493164	20.3780364990234	20.3095245361328	22.1169586181641	20.0701217651367	20.034294128418	25.205904006958	32.0463180541992	22.9730224609375	25.2657794952393	22.1887607574463	20.6186294555664	22.025297164917	22.645637512207	20.4539260864258	20.7287483215332	21.3931503295898	20.5908546447754	18.6513042449951	22.2728424072266	20.0359058380127	23.6166114807129	20.6886768341064	23.4655055999756	24.1909160614014	20.4199810028076	20.4482898712158	21.0818691253662	20.4626388549805	20.6744365692139	21.8778495788574	20.618091583252	24.2731990814209	22.2393760681152	19.5439109802246	20.8530044555664	19.3575649261475	21.1867065429688	19.9693031311035	20.1815605163574	24.2508983612061	26.25075340271	19.8424701690674	19.987735748291	19.7688980102539	26.6968383789063
19.3776969909668	20.7888336181641	21.7901859283447	26.7790641784668	22.0509243011475	20.6826038360596	20.7558879852295	22.3316974639893	20.6130619049072	19.8896903991699	25.5980129241943	33.0181846618652	23.2227592468262	24.2280254364014	22.5348796844482	19.0651321411133	21.7877178192139	22.9404315948486	20.8018341064453	20.8711719512939	20.03684425354	20.1478061676025	18.4244365692139	21.1396484375	20.1403350830078	23.9296741485596	19.5858573913574	22.1473712921143	25.910083770752	20.7357864379883	20.385534286499	NA	20.7792453765869	21.5820579528809	22.6143665313721	21.122688293457	24.2454681396484	22.5855464935303	20.6923427581787	20.884126663208	19.2056694030762	21.9679660797119	20.0408630371094	20.4230632781982	25.4111881256104	26.5846290588379	19.3389320373535	20.098669052124	19.9813385009766	25.2920379638672
NA	20.6772785186768	22.0686130523682	26.2185230255127	23.4047069549561	20.0642108917236	21.5322189331055	23.0322093963623	20.0463352203369	20.2786674499512	26.0623760223389	32.978931427002	23.6143665313721	25.0512981414795	22.6285858154297	20.6992225646973	21.4221897125244	20.3657035827637	20.7870807647705	20.7292461395264	19.0315780639648	21.1780376434326	18.1540260314941	21.91721534729	19.5754432678223	24.6631870269775	19.874927520752	21.5754718780518	24.0803394317627	20.7096939086914	21.0338230133057	22.6020469665527	20.9489917755127	20.470006942749	21.6202869415283	20.2756023406982	24.0225067138672	22.0393905639648	20.1912326812744	21.5420322418213	NA	22.5192699432373	21.2055625915527	20.3975944519043	24.4939937591553	28.1491394042969	20.5928611755371	21.2086601257324	19.7720756530762	28.367280960083
