Protein_Name	LFQ_C37BM	LFQ_C38BM	LFQ_C39BM	LFQ_C37PM	LFQ_C38PM	LFQ_C39PM	LFQ_C37PPM	LFQ_C38PPM	LFQ_C39PPM	LFQ_C37BN	LFQ_C39BN	LFQ_C37PN	LFQ_C39PN	LFQ_C37PPN	LFQ_C39PPN	LFQ_C37BS	LFQ_C38BS	LFQ_C39BS	LFQ_C37PS	LFQ_C38PS	LFQ_C39PS	LFQ_C37PPS	LFQ_C38PPS	LFQ_C39PPS	LFQ_C37BW3	LFQ_C38BW3	LFQ_C39BW3	LFQ_C37PW3	LFQ_C38PW3	LFQ_C39PW3	LFQ_C37PPW3	LFQ_C38PPW3	LFQ_C39PPW3
Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed	22.1005001068115	22.4657306671143	21.2547664642334	21.9819660186768	21.4924793243408	21.9138221740723	21.7901859283447	22.0681533813477	21.7153606414795	21.4220352172852	22.0836868286133	20.7530345916748	21.9347038269043	NA	21.5217628479004	21.2292881011963	21.9207077026367	22.2543621063232	21.3255882263184	21.9886035919189	22.0521850585938	21.4136943817139	22.1914443969727	21.8922653198242	22.0686130523682	NA	21.7947940826416	22.0643749237061	NA	22.295804977417	22.1047286987305	21.7470207214355	21.7602405548096
14-3-3 protein zeta/delta	19.9168949127197	20.3925724029541	19.959997177124	20.4722900390625	19.5265369415283	19.3998279571533	20.1002101898193	20.2310485839844	NA	20.796932220459	20.2281131744385	20.2271747589111	19.8696517944336	NA	20.5306015014648	20.4277744293213	19.9088554382324	20.4804000854492	20.2393474578857	20.1540031433105	21.3671436309814	19.4892482757568	22.1442623138428	19.0160675048828	21.2537860870361	20.9947948455811	17.8146572113037	NA	20.3475437164307	NA	20.2017993927002	20.9467811584473	17.5646553039551
Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-3E chain	20.9088115692139	21.0120906829834	19.9565982818604	19.9693031311035	21.2445831298828	20.2802543640137	20.0408630371094	20.9588642120361	19.7792930603027	21.0499954223633	21.9564208984375	20.5912189483643	21.8555927276611	25.2088832855225	20.9403419494629	20.2836494445801	20.4711990356445	22.1610946655273	19.8988265991211	20.4256248474121	21.8751907348633	20.2055015563965	21.5833435058594	21.0074443817139	21.2055625915527	NA	20.985860824585	20.3234462738037	19.7261047363281	20.573299407959	20.1594333648682	21.1433277130127	21.4230117797852
Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin	23.7069358825684	23.7812671661377	26.3869285583496	22.9730224609375	22.9184894561768	24.878345489502	23.2227592468262	23.6795997619629	23.3945369720459	23.2938976287842	24.9441814422607	22.5412998199463	25.0135898590088	NA	24.8782062530518	22.889799118042	23.2387790679932	24.8753032684326	22.6693859100342	23.4506072998047	25.3769969940186	23.8309383392334	23.8962440490723	24.5283851623535	23.6143665313721	23.1306438446045	23.6233253479004	23.7606067657471	22.6554756164551	23.491304397583	23.3242988586426	25.6298980712891	23.6044464111328
Hemoglobin subunit alpha	22.7833881378174	22.8847961425781	25.3055305480957	22.1887607574463	22.3467597961426	23.9993801116943	22.5348796844482	22.2413845062256	22.4633121490479	22.4584884643555	24.1216297149658	22.1776428222656	24.063570022583	NA	23.5186939239502	22.5191249847412	22.5179481506348	23.644495010376	21.8327159881592	22.5506992340088	24.654088973999	22.4642353057861	22.7993469238281	23.4062633514404	22.6285858154297	21.3494338989258	22.1954135894775	22.1266632080078	21.0838165283203	22.4403266906738	22.4016361236572	24.4246387481689	23.7915382385254
Phosphatidylinositol-glycan-specific phospholipase D	21.1524562835693	20.1683979034424	19.9093685150146	21.286247253418	20.0657901763916	21.3398990631104	20.5268821716309	19.5346527099609	21.6743068695068	21.4288997650146	20.60964012146	21.5580081939697	21.4431381225586	NA	20.9123973846436	21.6296539306641	19.9496326446533	21.0543079376221	21.3991088867188	19.3743267059326	21.0489311218262	20.6634464263916	NA	20.7959041595459	21.3536930084229	19.1884098052979	20.6663970947266	21.2096118927002	NA	19.6121635437012	21.5997791290283	NA	21.8958930969238
Complement factor H-related protein 1	21.6802024841309	22.0706119537354	19.55930519104	21.3117446899414	21.6304092407227	20.7790851593018	21.4075870513916	22.0863132476807	20.3734760284424	20.0142707824707	21.044734954834	21.1453819274902	20.8684616088867	NA	20.7568664550781	20.5337409973145	21.4474830627441	20.4412136077881	21.2160835266113	21.7496013641357	19.7497310638428	20.4121437072754	19.8108196258545	20.5563716888428	21.3784599304199	NA	20.2258796691895	20.796537399292	19.7062397003174	20.4743709564209	20.6836318969727	NA	19.9992065429688
Hyaluronan-binding protein 2;Hyaluronan-binding protein 2 50 kDa heavy chain;Hyaluronan-binding protein 2 50 kDa heavy chain alternate form;Hyaluronan-binding protein 2 27 kDa light chain;Hyaluronan-binding protein 2 27 kDa light chain alternate form	22.8916168212891	23.3333358764648	22.498384475708	22.8833427429199	23.0549373626709	22.4732074737549	23.0330848693848	23.0989418029785	22.0014762878418	22.8449649810791	22.4006996154785	23.2552261352539	22.6332054138184	NA	23.4049663543701	22.264476776123	22.5416774749756	22.2183322906494	22.8777370452881	23.036693572998	22.4704551696777	22.7057971954346	19.9647979736328	21.7914981842041	23.4718437194824	NA	22.2921295166016	23.0164833068848	20.4374599456787	22.5160732269287	22.8429527282715	NA	22.6912994384766
Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4	21.6765899658203	21.9158668518066	20.2288188934326	22.025297164917	22.2242031097412	22.1030311584473	21.7877178192139	22.1271991729736	22.5078964233398	21.4990653991699	20.4860095977783	21.9514484405518	21.6988410949707	NA	21.0538444519043	21.9332275390625	21.7945156097412	21.6068878173828	21.9764175415039	21.8775501251221	19.6825008392334	21.4297676086426	19.2318916320801	22.2042789459229	21.4221897125244	NA	22.2883319854736	21.3483543395996	20.3906860351563	21.0478668212891	21.3400630950928	18.8363647460938	22.5812301635742
Serum paraoxonase/lactonase 3	19.3545112609863	18.9167194366455	18.8182506561279	19.6221027374268	19.241304397583	20.1169281005859	18.0025615692139	19.2440719604492	18.7430725097656	18.2479457855225	NA	18.2191581726074	20.9821739196777	NA	17.9691047668457	19.3404541015625	19.6232986450195	19.6222991943359	18.3490142822266	19.1236610412598	NA	18.4641551971436	NA	19.8199367523193	20.074047088623	NA	19.6771583557129	18.6085586547852	NA	18.8378734588623	19.3333511352539	NA	18.7960453033447
Tubulin beta-1 chain	18.4099292755127	19.1677856445313	NA	18.6513042449951	19.126916885376	18.2192535400391	18.4244365692139	18.8462867736816	18.7925243377686	18.735523223877	19.1191596984863	19.3683700561523	19.0900859832764	NA	18.9515399932861	18.1227264404297	18.2115268707275	19.4672832489014	17.9230613708496	18.3940601348877	18.9017448425293	18.4308204650879	18.5995063781738	18.5738906860352	18.1540260314941	NA	19.2006015777588	18.2463226318359	NA	19.7186164855957	17.9092960357666	NA	19.6368827819824
Beta-parvin	20.779806137085	22.4287967681885	20.2549953460693	21.2728710174561	21.9998607635498	21.360782623291	21.1702327728271	22.4061870574951	20.6481647491455	20.9598541259766	21.4741230010986	20.7167415618896	21.7068729400635	NA	21.6295204162598	21.2357883453369	21.679386138916	21.8356475830078	20.8308219909668	21.883939743042	20.5813217163086	21.1061668395996	21.942419052124	21.0654602050781	21.9457454681396	21.5703830718994	21.0104522705078	21.6201515197754	21.5569324493408	21.6511459350586	21.6023178100586	20.8904476165771	21.3831615447998
EH domain-containing protein 3	18.7870483398438	20.8245429992676	19.9601383209229	19.3575649261475	NA	19.6701889038086	19.2056694030762	20.7443542480469	19.3568782806396	19.5255241394043	20.1611557006836	18.9960651397705	20.3303565979004	NA	20.7567844390869	NA	20.1913528442383	20.3561687469482	19.2513027191162	20.6236381530762	20.9151000976563	19.7405872344971	21.714563369751	19.5760345458984	NA	20.7418060302734	20.3875331878662	20.0964832305908	21.3694896697998	20.7410659790039	NA	22.0179786682129	20.2923259735107
Prenylcysteine oxidase 1	20.4458675384521	NA	NA	20.5406608581543	20.7827682495117	20.420597076416	20.7888336181641	20.9001388549805	20.3543395996094	21.2444667816162	19.6521091461182	21.0163135528564	19.640417098999	NA	20.3722019195557	21.097448348999	20.272985458374	19.8981323242188	20.8436050415039	20.290864944458	NA	20.8298931121826	19.3676242828369	20.1680297851563	20.6772785186768	NA	19.5723190307617	20.4844379425049	19.658992767334	19.9560298919678	20.4207000732422	NA	20.5192222595215
Talin-1	22.2924385070801	20.7200870513916	20.364315032959	22.5350456237793	21.5195579528809	22.3794384002686	22.5183334350586	19.1988048553467	22.1324501037598	20.3734760284424	20.5470790863037	20.7731399536133	20.1499156951904	NA	20.6646633148193	21.171760559082	21.6204204559326	22.2985210418701	21.6651401519775	20.3220157623291	NA	21.8780746459961	NA	22.2115745544434	21.9888114929199	NA	21.5654182434082	NA	NA	19.2153949737549	22.1702327728271	NA	21.0305938720703
